pwd, "writes to standard output the full path name of your current directory (from the root directory)" 
mkdir, "allows users to create or make new directories" 
ls, " lists information about directories and any type of files in the working directory" 
cd, "change directory command. It is used to change current working directory"  
rmdir, "removes the directory, specified by the Directory parameter, from the system"  
rm, " remove files you no longer need. The rm command removes the entries for a specified file, group of files, or certain select files from a list within a directory"  
cp, "copying files from one location to another"  
mv, "move files and directories from one directory to another or to rename a file or directory."  
ssh, "a protocol used to securely connect to a remote server/system"  
scp, " a network protocol used to securely copy files/folders between Linux (Unix) systems on a network"  
man, "dused to display the user manual of any command that we can run on the terminal"  
g++, "a GNU c++ compiler invocation command, which is used for preprocessing, compilation, assembly and linking of source code to generate an executable file"  
gcc, " a compiler system produced by the GNU Project supporting various programming languages."  
make, "used to build and maintain groups of programs and files from the source code"  
ps, " Process Status, is a command line utility that is used to display or view information related to the processes running in a Linux system"  
kill, "is a built-in command which is used to terminate processes manually"  
top, "shows a real-time view of running processes in Linux and displays kernel-managed tasks."  
who, " is used to get information about currently logged in user on to system"  
chmod, "is used to change the access permissions of files and directories. It stands for change mode"  
cat, "It reads data from the file and gives their content as output. "  
alias, " is a shortcut that references a command"  
chown, " used to change a file's ownership, directory, or symbolic link for a user or group."  
df, "displays the amount of disk space available on the filesystem with each file name's argument"  
grep, "a Linux / Unix command-line tool used to search for a string of characters in a specified file."  
echo, "displaying lines of text or string which are passed as arguments on the command line" 
exit, "used to exit the shell where it is currently running."  
clear, "a standard Unix computer operating system command that is used to clear the terminal screen. " 
find, "find files and directories and perform subsequent operations on them"  
finger, "a user information lookup command which gives details of all the users logged in." 
free, "gives insight into the memory usage in human-readable format."  
